node_id,node_coordinate,lat,lon
1951023619,"(44.998144, 38.728412)",44.998144,38.728412
2241437513,"(45.002272, 38.773641)",45.002272,38.773641
2084874776,"(45.001033, 38.772562)",45.001033,38.772562
2084874068,"(45.000903, 38.772445)",45.000903,38.772445
2084874077,"(45.000798, 38.76801)",45.000798,38.76801
2084874078,"(45.000608, 38.768496)",45.000608,38.768496
2084874048,"(45.000401, 38.769221)",45.000401,38.769221
2084874057,"(45.000228, 38.769736)",45.000228,38.769736
2084874045,"(45.000167, 38.769953)",45.000167,38.769953
2241437459,"(45.000217, 38.770089)",45.000217,38.770089
2084874050,"(45.000206, 38.7702)",45.000206,38.7702
2084874058,"(44.999763, 38.771372)",44.999763,38.771372
2084874067,"(45.000993, 38.767707)",45.000993,38.767707
2084874047,"(45.001028, 38.767571)",45.001028,38.767571
2084874043,"(45.000993, 38.767465)",45.000993,38.767465
2084874056,"(45.0009, 38.767374)",45.0009,38.767374
2084874055,"(45.000338, 38.767043)",45.000338,38.767043
2084874053,"(45.00024, 38.767025)",45.00024,38.767025
2084874044,"(45.000135, 38.76704)",45.000135,38.76704
2084874071,"(45.001179, 38.767919)",45.001179,38.767919
2084874073,"(45.001582, 38.768509)",45.001582,38.768509
2241437509,"(45.001803, 38.768758)",45.001803,38.768758
2084874062,"(45.001833, 38.770683)",45.001833,38.770683
557290893,"(45.002032, 38.770359)",45.002032,38.770359
367381117,"(45.002197, 38.776299)",45.002197,38.776299
557254585,"(45.00201, 38.778346)",45.00201,38.778346
557254462,"(45.001974, 38.77854)",45.001974,38.77854
2084874773,"(45.000355, 38.773399)",45.000355,38.773399
2241437466,"(45.000599, 38.773316)",45.000599,38.773316
2084874780,"(45.000751, 38.773128)",45.000751,38.773128
557254439,"(45.001902, 38.778694)",45.001902,38.778694
557292217,"(45.001382, 38.782901)",45.001382,38.782901
2241437503,"(45.001703, 38.78139)",45.001703,38.78139
2241437507,"(45.00177, 38.78091)",45.00177,38.78091
557255516,"(45.001804, 38.782591)",45.001804,38.782591
557255517,"(45.002421, 38.782083)",45.002421,38.782083
2241437469,"(45.000841, 38.782886)",45.000841,38.782886
557255503,"(45.000308, 38.782866)",45.000308,38.782866
557255513,"(45.000175, 38.782885)",45.000175,38.782885
557255514,"(45.000081, 38.782633)",45.000081,38.782633
557255515,"(44.999989, 38.782377)",44.999989,38.782377
557254446,"(45.001558, 38.779072)",45.001558,38.779072
557254527,"(45.00092, 38.779512)",45.00092,38.779512
557254447,"(45.000743, 38.779615)",45.000743,38.779615
2241437464,"(45.000554, 38.779626)",45.000554,38.779626
557254510,"(45.000408, 38.779555)",45.000408,38.779555
557254495,"(45.000299, 38.779548)",45.000299,38.779548
557254573,"(45.000198, 38.779646)",45.000198,38.779646
557254561,"(45.000159, 38.779789)",45.000159,38.779789
557254452,"(45.000101, 38.780501)",45.000101,38.780501
2241437454,"(45.000122, 38.780689)",45.000122,38.780689
2241437500,"(45.000845, 38.785222)",45.000845,38.785222
1177668154,"(44.999964, 38.789779)",44.999964,38.789779
1177667589,"(45.000166, 38.789979)",45.000166,38.789979
557285450,"(44.999915, 38.78867)",44.999915,38.78867
2241437451,"(45.000079, 38.787968)",45.000079,38.787968
2241437462,"(45.00048, 38.786967)",45.00048,38.786967
367381139,"(45.000272, 38.790201)",45.000272,38.790201
1177666949,"(45.000276, 38.790613)",45.000276,38.790613
2526076717,"(45.000435, 38.789853)",45.000435,38.789853
2526076720,"(45.000585, 38.789281)",45.000585,38.789281
2526076722,"(45.000704, 38.788932)",45.000704,38.788932
2526076724,"(45.001192, 38.787623)",45.001192,38.787623
